MultiReader - Tags Read History Results
Test Description: 
Test Date: 05/25/21  Time: 9:42:00 AM

EPCValue,TimeStamp,RunNum,RSSI,Reader,Frequency,Power,Antenna
0x00e200600322e19c64000000,1621950110.879,0,-61,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950110.936,0,-60,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950111.000,0,-61,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950111.063,0,-61,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950111.128,0,-61,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950111.196,0,-62,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950111.264,0,-61,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950111.326,0,-61,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950111.392,0,-61,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950111.453,0,-61,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950111.518,0,-61,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950111.577,0,-60,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950111.645,0,-60,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950111.705,0,-62,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950111.767,0,-61,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950111.825,0,-61,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950111.885,0,-61,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950111.940,0,-61,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950112.007,0,-61,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950112.065,0,-61,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950112.131,0,-61,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950112.191,0,-61,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950112.245,0,-61,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950112.308,0,-60,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950112.367,0,-61,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950112.429,0,-61,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950112.491,0,-61,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950112.555,0,-61,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950112.616,0,-61,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950112.681,0,-61,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950112.736,0,-61,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950112.795,0,-61,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950112.855,0,-61,0,926.250,32.00,0
0x00e200600322e19c64000000,1621950112.907,0,-61,0,926.250,32.00,0
