
EPCValue,TimeStamp,RunNum,RSSI,Reader,Frequency,Power,Antenna
0x2222,1614728355.085,0,-41,0,903.250,30.00,0
0x2222,1614728355.109,0,-40,0,903.250,30.00,0
0x2222,1614728355.162,0,-41,0,903.250,30.00,0
0x2222,1614728355.195,0,-41,0,903.250,30.00,0
0x2222,1614728355.241,0,-41,0,903.250,30.00,0
0x2222,1614728355.288,0,-41,0,927.250,30.00,0
0x2222,1614728355.341,0,-41,0,927.250,30.00,0
0x2222,1614728355.363,0,-41,0,927.250,30.00,0
0x2222,1614728355.427,0,-41,0,927.250,30.00,0
0x2222,1614728355.446,0,-41,0,927.250,30.00,0
0x2222,1614728355.526,0,-41,0,909.750,30.00,0
0x2222,1614728355.557,0,-41,0,909.750,30.00,0
0x2222,1614728355.609,0,-40,0,909.750,30.00,0
0x2222,1614728355.676,0,-40,0,908.250,30.00,0
0x2222,1614728355.729,0,-40,0,908.250,30.00,0
0x2222,1614728355.752,0,-41,0,908.250,30.00,0
0x2222,1614728355.805,0,-41,0,908.250,30.00,0
0x2222,1614728355.828,0,-41,0,908.250,30.00,0
0x2222,1614728355.886,0,-40,0,920.250,30.00,0
0x2222,1614728355.908,0,-41,0,920.250,30.00,0
0x2222,1614728355.960,0,-41,0,920.250,30.00,0
0x2222,1614728355.982,0,-40,0,920.250,30.00,0
0x2222,1614728356.035,0,-41,0,920.250,30.00,0
0x2222,1614728356.058,0,-41,0,920.250,30.00,0
0x2222,1614728356.110,0,-40,0,923.250,30.00,0
0x2222,1614728356.133,0,-40,0,923.250,30.00,0
0x2222,1614728356.185,0,-40,0,923.250,30.00,0
0x2222,1614728356.208,0,-40,0,923.250,30.00,0
0x2222,1614728356.261,0,-40,0,923.250,30.00,0
0x2222,1614728356.283,0,-40,0,923.250,30.00,0
0x2222,1614728356.342,0,-41,0,919.750,30.00,0
0x2222,1614728356.364,0,-41,0,919.750,30.00,0
0x2222,1614728356.417,0,-41,0,919.750,30.00,0
0x2222,1614728356.440,0,-41,0,919.750,30.00,0
0x2222,1614728356.486,0,-41,0,919.750,30.00,0
0x2222,1614728356.533,0,-41,0,908.750,30.00,0
0x2222,1614728356.586,0,-41,0,908.750,30.00,0
0x2222,1614728356.608,0,-41,0,908.750,30.00,0
0x2222,1614728356.660,0,-41,0,908.750,30.00,0
0x2222,1614728356.684,0,-40,0,908.750,30.00,0
0x2222,1614728356.736,0,-40,0,910.750,30.00,0
0x2222,1614728356.770,0,-41,0,910.750,30.00,0
0x2222,1614728356.823,0,-41,0,910.750,30.00,0
0x2222,1614728356.846,0,-40,0,910.750,30.00,0
0x2222,1614728356.898,0,-41,0,910.750,30.00,0
0x2222,1614728356.910,0,-40,0,910.750,30.00,0
0x2222,1614728356.989,0,-41,0,906.250,30.00,0
0x2222,1614728357.012,0,-41,0,906.250,30.00,0
0x2222,1614728357.076,0,-41,0,906.250,30.00,0
0x2222,1614728357.098,0,-41,0,906.250,30.00,0
0x2222,1614728357.151,0,-40,0,915.250,30.00,0
0x2222,1614728357.173,0,-40,0,915.250,30.00,0
0x2222,1614728357.225,0,-40,0,915.250,30.00,0
0x2222,1614728357.248,0,-40,0,915.250,30.00,0
0x2222,1614728357.301,0,-40,0,915.250,30.00,0
0x2222,1614728357.324,0,-40,0,915.250,30.00,0
0x2222,1614728357.388,0,-41,0,921.250,30.00,0
0x2222,1614728357.411,0,-40,0,921.250,30.00,0
0x2222,1614728357.463,0,-40,0,921.250,30.00,0
0x2222,1614728357.486,0,-40,0,921.250,30.00,0
0x2222,1614728357.539,0,-40,0,921.250,30.00,0
0x2222,1614728357.548,0,-41,0,921.250,30.00,0
0x2222,1614728357.626,0,-41,0,907.750,30.00,0
0x2222,1614728357.647,0,-40,0,907.750,30.00,0
0x2222,1614728357.700,0,-41,0,907.750,30.00,0
0x2222,1614728357.721,0,-40,0,907.750,30.00,0
0x2222,1614728357.785,0,-41,0,909.250,30.00,0
0x2222,1614728357.807,0,-41,0,909.250,30.00,0
0x2222,1614728357.861,0,-41,0,909.250,30.00,0
0x2222,1614728357.883,0,-41,0,909.250,30.00,0
0x2222,1614728357.935,0,-41,0,909.250,30.00,0
0x2222,1614728357.950,0,-41,0,909.250,30.00,0
0x2222,1614728358.028,0,-40,0,916.250,30.00,0
0x2222,1614728358.050,0,-41,0,916.250,30.00,0
0x2222,1614728358.102,0,-40,0,916.250,30.00,0
0x2222,1614728358.125,0,-41,0,916.250,30.00,0
0x2222,1614728358.184,0,-40,0,924.750,30.00,0
0x2222,1614728358.207,0,-40,0,924.750,30.00,0
0x2222,1614728358.260,0,-40,0,924.750,30.00,0
0x2222,1614728358.284,0,-40,0,924.750,30.00,0
0x2222,1614728358.337,0,-40,0,924.750,30.00,0
0x2222,1614728358.357,0,-40,0,924.750,30.00,0
0x2222,1614728358.434,0,-40,0,925.750,30.00,0
0x2222,1614728358.457,0,-40,0,925.750,30.00,0
0x2222,1614728358.511,0,-41,0,925.750,30.00,0
0x2222,1614728358.534,0,-40,0,925.750,30.00,0
0x2222,1614728358.592,0,-40,0,912.750,30.00,0
0x2222,1614728358.616,0,-40,0,912.750,30.00,0
0x2222,1614728358.668,0,-40,0,912.750,30.00,0
0x2222,1614728358.690,0,-40,0,912.750,30.00,0
0x2222,1614728358.742,0,-40,0,912.750,30.00,0
0x2222,1614728358.764,0,-40,0,912.750,30.00,0
0x2222,1614728358.817,0,-41,0,903.750,30.00,0
0x2222,1614728358.840,0,-41,0,903.750,30.00,0
0x2222,1614728358.892,0,-41,0,903.750,30.00,0
0x2222,1614728358.916,0,-41,0,903.750,30.00,0
0x2222,1614728358.969,0,-41,0,903.750,30.00,0
0x2222,1614728358.990,0,-41,0,903.750,30.00,0
0x2222,1614728359.067,0,-40,0,920.750,30.00,0
0x2222,1614728359.094,0,-40,0,920.750,30.00,0
0x2222,1614728359.148,0,-40,0,920.750,30.00,0
0x2222,1614728359.169,0,-40,0,920.750,30.00,0
0x2222,1614728359.223,0,-40,0,917.750,30.00,0
0x2222,1614728359.246,0,-41,0,917.750,30.00,0
0x2222,1614728359.301,0,-41,0,917.750,30.00,0
0x2222,1614728359.325,0,-41,0,917.750,30.00,0
0x2222,1614728359.378,0,-41,0,917.750,30.00,0
0x2222,1614728359.396,0,-41,0,917.750,30.00,0
0x2222,1614728359.473,0,-41,0,917.250,30.00,0
0x2222,1614728359.495,0,-41,0,917.250,30.00,0
0x2222,1614728359.548,0,-41,0,917.250,30.00,0
0x2222,1614728359.571,0,-41,0,917.250,30.00,0
0x2222,1614728359.630,0,-41,0,913.750,30.00,0
0x2222,1614728359.654,0,-40,0,913.750,30.00,0
0x2222,1614728359.711,0,-41,0,913.750,30.00,0
0x2222,1614728359.736,0,-41,0,913.750,30.00,0
0x2222,1614728359.788,0,-41,0,913.750,30.00,0
0x2222,1614728359.803,0,-40,0,913.750,30.00,0
0x2222,1614728359.881,0,-41,0,907.250,30.00,0
0x2222,1614728359.902,0,-40,0,907.250,30.00,0
0x2222,1614728359.955,0,-40,0,907.250,30.00,0
0x2222,1614728359.977,0,-41,0,907.250,30.00,0
0x2222,1614728360.036,0,-41,0,914.750,30.00,0
0x2222,1614728360.058,0,-40,0,914.750,30.00,0
0x2222,1614728360.111,0,-41,0,914.750,30.00,0
0x2222,1614728360.134,0,-41,0,914.750,30.00,0
0x2222,1614728360.186,0,-40,0,914.750,30.00,0
0x2222,1614728360.206,0,-40,0,914.750,30.00,0
0x2222,1614728360.284,0,-40,0,923.750,30.00,0
0x2222,1614728360.305,0,-40,0,923.750,30.00,0
0x2222,1614728360.358,0,-40,0,923.750,30.00,0
0x2222,1614728360.382,0,-40,0,923.750,30.00,0
0x2222,1614728360.440,0,-40,0,918.250,30.00,0
0x2222,1614728360.463,0,-40,0,918.250,30.00,0
0x2222,1614728360.517,0,-41,0,918.250,30.00,0
0x2222,1614728360.539,0,-40,0,918.250,30.00,0
0x2222,1614728360.593,0,-41,0,918.250,30.00,0
0x2222,1614728360.615,0,-41,0,918.250,30.00,0
0x2222,1614728360.693,0,-40,0,926.750,30.00,0
0x2222,1614728360.715,0,-40,0,926.750,30.00,0
0x2222,1614728360.768,0,-40,0,926.750,30.00,0
0x2222,1614728360.790,0,-40,0,926.750,30.00,0
0x2222,1614728360.848,0,-41,0,904.250,30.00,0
0x2222,1614728360.872,0,-41,0,904.250,30.00,0
0x2222,1614728360.927,0,-40,0,904.250,30.00,0
0x2222,1614728360.950,0,-41,0,904.250,30.00,0
0x2222,1614728361.003,0,-41,0,904.250,30.00,0
0x2222,1614728361.023,0,-41,0,904.250,30.00,0
0x2222,1614728361.103,0,-40,0,912.250,30.00,0
0x2222,1614728361.126,0,-40,0,912.250,30.00,0
0x2222,1614728361.179,0,-40,0,912.250,30.00,0
0x2222,1614728361.204,0,-41,0,912.250,30.00,0
0x2222,1614728361.256,0,-40,0,926.250,30.00,0
0x2222,1614728361.279,0,-40,0,926.250,30.00,0
0x2222,1614728361.333,0,-40,0,926.250,30.00,0
0x2222,1614728361.356,0,-40,0,926.250,30.00,0
0x2222,1614728361.408,0,-40,0,926.250,30.00,0
0x2222,1614728361.427,0,-40,0,926.250,30.00,0
0x2222,1614728361.504,0,-41,0,906.750,30.00,0
0x2222,1614728361.527,0,-41,0,906.750,30.00,0
0x2222,1614728361.580,0,-41,0,906.750,30.00,0
0x2222,1614728361.603,0,-41,0,906.750,30.00,0
0x2222,1614728361.662,0,-41,0,921.750,30.00,0
0x2222,1614728361.684,0,-41,0,921.750,30.00,0
0x2222,1614728361.737,0,-40,0,921.750,30.00,0
0x2222,1614728361.760,0,-40,0,921.750,30.00,0
0x2222,1614728361.821,0,-40,0,921.750,30.00,0
0x2222,1614728361.835,0,-41,0,921.750,30.00,0
0x2222,1614728361.912,0,-41,0,914.250,30.00,0
0x2222,1614728361.934,0,-41,0,914.250,30.00,0
0x2222,1614728361.989,0,-41,0,914.250,30.00,0
0x2222,1614728362.012,0,-41,0,914.250,30.00,0
0x2222,1614728362.071,0,-41,0,925.250,30.00,0
0x2222,1614728362.093,0,-41,0,925.250,30.00,0
0x2222,1614728362.146,0,-41,0,925.250,30.00,0
0x2222,1614728362.171,0,-41,0,925.250,30.00,0
0x2222,1614728362.223,0,-41,0,925.250,30.00,0
0x2222,1614728362.244,0,-41,0,925.250,30.00,0
0x2222,1614728362.323,0,-41,0,910.250,30.00,0
0x2222,1614728362.346,0,-41,0,910.250,30.00,0
0x2222,1614728362.398,0,-40,0,910.250,30.00,0
0x2222,1614728362.419,0,-40,0,910.250,30.00,0
0x2222,1614728362.472,0,-41,0,911.750,30.00,0
0x2222,1614728362.493,0,-41,0,911.750,30.00,0
0x2222,1614728362.546,0,-41,0,911.750,30.00,0
0x2222,1614728362.569,0,-41,0,911.750,30.00,0
0x2222,1614728362.622,0,-41,0,911.750,30.00,0
0x2222,1614728362.645,0,-41,0,911.750,30.00,0
0x2222,1614728362.714,0,-41,0,911.250,30.00,0
0x2222,1614728362.738,0,-40,0,911.250,30.00,0
0x2222,1614728362.790,0,-41,0,911.250,30.00,0
0x2222,1614728362.815,0,-41,0,911.250,30.00,0
0x2222,1614728362.875,0,-41,0,918.750,30.00,0
0x2222,1614728362.900,0,-40,0,918.750,30.00,0
0x2222,1614728362.953,0,-40,0,918.750,30.00,0
0x2222,1614728362.975,0,-41,0,918.750,30.00,0
0x2222,1614728363.028,0,-41,0,918.750,30.00,0
0x2222,1614728363.050,0,-41,0,918.750,30.00,0
0x2222,1614728363.131,0,-41,0,922.250,30.00,0
0x2222,1614728363.154,0,-41,0,922.250,30.00,0
0x2222,1614728363.206,0,-41,0,922.250,30.00,0
0x2222,1614728363.229,0,-41,0,922.250,30.00,0
0x2222,1614728363.281,0,-40,0,905.250,30.00,0
0x2222,1614728363.305,0,-41,0,905.250,30.00,0
0x2222,1614728363.358,0,-41,0,905.250,30.00,0
0x2222,1614728363.381,0,-40,0,905.250,30.00,0
0x2222,1614728363.434,0,-41,0,905.250,30.00,0
0x2222,1614728363.455,0,-41,0,905.250,30.00,0
0x2222,1614728363.533,0,-41,0,922.750,30.00,0
0x2222,1614728363.555,0,-41,0,922.750,30.00,0
0x2222,1614728363.608,0,-40,0,922.750,30.00,0
0x2222,1614728363.630,0,-41,0,922.750,30.00,0
0x2222,1614728363.685,0,-41,0,905.750,30.00,0
0x2222,1614728363.708,0,-41,0,905.750,30.00,0
0x2222,1614728363.763,0,-41,0,905.750,30.00,0
0x2222,1614728363.785,0,-41,0,905.750,30.00,0
0x2222,1614728363.843,0,-41,0,905.750,30.00,0
0x2222,1614728363.857,0,-41,0,905.750,30.00,0
0x2222,1614728363.937,0,-40,0,915.750,30.00,0
0x2222,1614728363.960,0,-41,0,915.750,30.00,0
0x2222,1614728364.013,0,-40,0,915.750,30.00,0
0x2222,1614728364.035,0,-40,0,915.750,30.00,0
0x2222,1614728364.088,0,-40,0,924.250,30.00,0
0x2222,1614728364.110,0,-40,0,924.250,30.00,0
0x2222,1614728364.163,0,-40,0,924.250,30.00,0
0x2222,1614728364.185,0,-40,0,924.250,30.00,0
0x2222,1614728364.238,0,-40,0,924.250,30.00,0
0x2222,1614728364.259,0,-40,0,924.250,30.00,0
0x2222,1614728364.337,0,-41,0,919.250,30.00,0
0x2222,1614728364.360,0,-41,0,919.250,30.00,0
0x2222,1614728364.414,0,-41,0,919.250,30.00,0
0x2222,1614728364.438,0,-41,0,919.250,30.00,0
0x2222,1614728364.492,0,-40,0,913.250,30.00,0
0x2222,1614728364.515,0,-40,0,913.250,30.00,0
0x2222,1614728364.569,0,-40,0,913.250,30.00,0
0x2222,1614728364.593,0,-41,0,913.250,30.00,0
0x2222,1614728364.653,0,-40,0,913.250,30.00,0
0x2222,1614728364.666,0,-40,0,913.250,30.00,0
0x2222,1614728364.742,0,-41,0,904.750,30.00,0
0x2222,1614728364.766,0,-40,0,904.750,30.00,0
0x2222,1614728364.819,0,-41,0,904.750,30.00,0
0x2222,1614728364.841,0,-41,0,904.750,30.00,0
0x2222,1614728364.895,0,-41,0,916.750,30.00,0
0x2222,1614728364.918,0,-41,0,916.750,30.00,0
0x2222,1614728364.971,0,-41,0,916.750,30.00,0
0x2222,1614728364.995,0,-41,0,916.750,30.00,0
0x2222,1614728365.049,0,-41,0,916.750,30.00,0
0x2222,1614728365.066,0,-41,0,916.750,30.00,0
0x2222,1614728365.141,0,-41,0,902.750,30.00,0
0x2222,1614728365.164,0,-41,0,902.750,30.00,0
0x2222,1614728365.217,0,-41,0,902.750,30.00,0
0x2222,1614728365.239,0,-41,0,902.750,30.00,0
0x2222,1614728365.299,0,-41,0,903.250,30.00,0
0x2222,1614728365.321,0,-41,0,903.250,30.00,0
0x2222,1614728365.373,0,-41,0,903.250,30.00,0
0x2222,1614728365.396,0,-41,0,903.250,30.00,0
0x2222,1614728365.448,0,-41,0,903.250,30.00,0
0x2222,1614728365.473,0,-41,0,903.250,30.00,0
0x2222,1614728365.549,0,-41,0,927.250,30.00,0
0x2222,1614728365.572,0,-40,0,927.250,30.00,0
0x2222,1614728365.626,0,-40,0,927.250,30.00,0
0x2222,1614728365.649,0,-40,0,927.250,30.00,0
0x2222,1614728365.707,0,-41,0,909.750,30.00,0
0x2222,1614728365.729,0,-41,0,909.750,30.00,0
0x2222,1614728365.782,0,-41,0,909.750,30.00,0
0x2222,1614728365.804,0,-40,0,909.750,30.00,0
0x2222,1614728365.858,0,-40,0,909.750,30.00,0
0x2222,1614728365.877,0,-41,0,909.750,30.00,0
0x2222,1614728365.955,0,-41,0,908.250,30.00,0
0x2222,1614728365.978,0,-41,0,908.250,30.00,0
0x2222,1614728366.033,0,-41,0,908.250,30.00,0
0x2222,1614728366.056,0,-41,0,908.250,30.00,0
0x2222,1614728366.109,0,-40,0,920.250,30.00,0
0x2222,1614728366.132,0,-41,0,920.250,30.00,0
0x2222,1614728366.184,0,-40,0,920.250,30.00,0
0x2222,1614728366.205,0,-41,0,920.250,30.00,0
0x2222,1614728366.258,0,-40,0,920.250,30.00,0
0x2222,1614728366.281,0,-41,0,920.250,30.00,0
0x2222,1614728366.335,0,-40,0,923.250,30.00,0
0x2222,1614728366.365,0,-40,0,923.250,30.00,0
0x2222,1614728366.419,0,-40,0,923.250,30.00,0
0x2222,1614728366.442,0,-40,0,923.250,30.00,0
0x2222,1614728366.496,0,-40,0,923.250,30.00,0
0x2222,1614728366.507,0,-40,0,923.250,30.00,0
0x2222,1614728366.594,0,-41,0,919.750,30.00,0
0x2222,1614728366.616,0,-41,0,919.750,30.00,0
0x2222,1614728366.670,0,-41,0,919.750,30.00,0
0x2222,1614728366.693,0,-41,0,919.750,30.00,0
0x2222,1614728366.745,0,-41,0,908.750,30.00,0
0x2222,1614728366.767,0,-41,0,908.750,30.00,0
0x2222,1614728366.819,0,-41,0,908.750,30.00,0
0x2222,1614728366.841,0,-41,0,908.750,30.00,0
0x2222,1614728366.896,0,-41,0,908.750,30.00,0
0x2222,1614728366.914,0,-41,0,908.750,30.00,0
0x2222,1614728366.991,0,-41,0,910.750,30.00,0
0x2222,1614728367.014,0,-40,0,910.750,30.00,0
0x2222,1614728367.068,0,-41,0,910.750,30.00,0
0x2222,1614728367.090,0,-41,0,910.750,30.00,0
0x2222,1614728367.150,0,-41,0,906.250,30.00,0
0x2222,1614728367.172,0,-41,0,906.250,30.00,0
0x2222,1614728367.223,0,-41,0,906.250,30.00,0
0x2222,1614728367.245,0,-41,0,906.250,30.00,0
0x2222,1614728367.296,0,-41,0,906.250,30.00,0
0x2222,1614728367.318,0,-41,0,906.250,30.00,0
0x2222,1614728367.377,0,-40,0,915.250,30.00,0
0x2222,1614728367.398,0,-40,0,915.250,30.00,0
0x2222,1614728367.453,0,-40,0,915.250,30.00,0
0x2222,1614728367.476,0,-41,0,915.250,30.00,0
0x2222,1614728367.523,0,-40,0,915.250,30.00,0
0x2222,1614728367.570,0,-40,0,921.250,30.00,0
0x2222,1614728367.624,0,-40,0,921.250,30.00,0
0x2222,1614728367.647,0,-40,0,921.250,30.00,0
0x2222,1614728367.700,0,-40,0,921.250,30.00,0
0x2222,1614728367.721,0,-40,0,921.250,30.00,0
0x2222,1614728367.774,0,-40,0,907.750,30.00,0
0x2222,1614728367.795,0,-41,0,907.750,30.00,0
0x2222,1614728367.849,0,-41,0,907.750,30.00,0
0x2222,1614728367.871,0,-41,0,907.750,30.00,0
0x2222,1614728367.924,0,-40,0,907.750,30.00,0
0x2222,1614728367.947,0,-41,0,907.750,30.00,0
0x2222,1614728368.005,0,-41,0,909.250,30.00,0
0x2222,1614728368.028,0,-41,0,909.250,30.00,0
0x2222,1614728368.080,0,-41,0,909.250,30.00,0
0x2222,1614728368.102,0,-41,0,909.250,30.00,0
0x2222,1614728368.149,0,-41,0,909.250,30.00,0
0x2222,1614728368.196,0,-40,0,916.250,30.00,0
0x2222,1614728368.248,0,-41,0,916.250,30.00,0
