MultiReader - Tags Read History Results
Test Description: 
Test Date: 04/20/21  Time: 10:36:07 AM

EPCValue,TimeStamp,RunNum,RSSI,Reader,Frequency,Power,Antenna
0x00e200600322e139f7000000,1618929358.200,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929358.252,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929358.305,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929358.359,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929358.412,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929358.465,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929358.518,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929358.571,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929358.625,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929358.680,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929358.733,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929358.786,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929358.840,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929358.892,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929358.946,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929358.999,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929359.051,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929359.104,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929359.157,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929359.210,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929359.264,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929359.317,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929359.369,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929359.421,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929359.473,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929359.528,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929359.581,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929359.634,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929359.688,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929359.741,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929359.794,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929359.847,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929359.899,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929359.952,0,-45,0,920.250,30.00,0
0x00e200600322e139f7000000,1618929360.003,0,-45,0,920.250,30.00,0
