location,tag1,error1,tag2,error2,,tag3,tag4
1,-52,0,-61,0,,-52,-61
2,-51,0,-62.97561,0.27274575,,-51,-63.24835575
3,-51,0,-59.972222,0.16666667,,-51,-60.13888867
4,-51,0,-58.027778,0.16666667,,-51,-58.19444467
5,-51.825,0.38480764,-57.975,0.15811388,,-52.20980764,-58.13311388
6,-49.363636,0.4866071,-56.813953,0.39374962,,-49.8502431,-57.20770262
7,-48,0,-55.826087,0.38322305,,-48,-56.20931005
8,-46,0,-55.325581,0.47413732,,-46,-55.79971832
9,-46,0,-55.512195,0.50606083,,-46,-56.01825583
10,-46.058824,0.23883257,-56,0,,-46.29765657,-56
11,-46.205128,0.40907387,-56.615385,0.49286406,,-46.61420187,-57.10824906
12,-47,0,-59.022727,0.15075567,,-47,-59.17348267
13,-47.142857,0.3541688,-60.488372,0.50578054,,-47.4970258,-60.99415254
14,-47,0,-62.021739,0.14744196,,-47,-62.16918096
15,-55.088889,0.28779903,,,,-55.37668803,
16,-55.0625,0.24462303,-70,0,,-55.30712303,-70
17,-54.979167,0.14433757,,,,-55.12350457,
18,-52.795455,0.40803246,-66.697674,0.46470081,,-53.20348746,-67.16237481
19,-50,0,-61.162791,0.43261291,,-50,-61.59540391
20,-48,0,-56.913043,0.28488492,,-48,-57.19792792
21,-47,0,-56.790698,0.41162509,,-47,-57.20232309
22,-46,0,-56.632653,0.48707792,,-46,-57.11973092
23,-45,0,-56.1,0.30382181,,-45,-56.40382181
24,-45.809524,0.39743662,-57,0,,-46.20696062,-57
25,-45.925,0.26674678,-59,0,,-46.19174678,-59
26,-46,0,-59.870588,0.33764716,,-46,-60.20823516
27,-46.126984,0.33562957,-62.870968,0.38342165,,-46.46261357,-63.25438965
28,-48,0,-64.173913,0.43738352,,-48,-64.61129652
29,-51.977778,0.1490712,,,,-52.1268492,
30,-51.8,0.55777335,-68.285714,1.11269728,,-52.35777335,-69.39841128
31,-49.608696,0.49343516,-62.913043,0.28488492,,-50.10213116,-63.19792792
32,-49.619048,0.49150743,-60.357143,0.4849656,,-50.11055543,-60.8421086
33,-49.909091,0.29012943,-59.890909,0.3146266,,-50.19922043,-60.2055356
