MultiReader - Tags Read History Results
Test Description: 
Test Date: 02/08/21  Time: 12:54:01 AM

EPCValue,TimeStamp,RunNum,RSSI,Reader,Frequency,Power,Antenna
0x9108,1612774410.584,0,-47,0,903.250,30.00,0
0x9108,1612774410.637,0,-47,0,903.250,30.00,0
0x9108,1612774410.722,0,-47,0,903.250,30.00,0
0x9108,1612774410.793,0,-45,0,920.750,30.00,0
0x9108,1612774410.883,0,-45,0,920.750,30.00,0
0x9108,1612774410.938,0,-45,0,920.750,30.00,0
0x9108,1612774411.031,0,-45,0,921.750,30.00,0
0x9108,1612774411.092,0,-45,0,921.750,30.00,0
0x9108,1612774411.141,0,-45,0,921.750,30.00,0
0x9108,1612774411.234,0,-47,0,902.750,30.00,0
0x9108,1612774411.324,0,-47,0,902.750,30.00,0
0x9108,1612774411.388,0,-44,0,925.750,30.00,0
0x9108,1612774411.473,0,-44,0,925.750,30.00,0
0x9108,1612774411.527,0,-44,0,925.750,30.00,0
0x9108,1612774411.612,0,-46,0,914.250,30.00,0
0x9108,1612774411.667,0,-46,0,914.250,30.00,0
0x9108,1612774411.752,0,-46,0,914.250,30.00,0
0x9108,1612774411.814,0,-45,0,917.750,30.00,0
0x9108,1612774411.899,0,-45,0,917.750,30.00,0
0x9108,1612774411.955,0,-45,0,917.750,30.00,0
0x9108,1612774412.052,0,-44,0,922.750,30.00,0
0x9108,1612774412.107,0,-44,0,922.750,30.00,0
0x9108,1612774412.161,0,-44,0,922.750,30.00,0
0x9108,1612774412.259,0,-45,0,918.250,30.00,0
0x9108,1612774412.345,0,-46,0,918.250,30.00,0
0x9108,1612774412.364,0,-46,0,918.250,30.00,0
0x9108,1612774412.491,0,-48,0,904.250,30.00,0
0x9108,1612774412.551,0,-48,0,904.250,30.00,0
0x9108,1612774412.635,0,-46,0,916.750,30.00,0
0x9108,1612774412.689,0,-46,0,916.750,30.00,0
0x9108,1612774412.773,0,-46,0,916.750,30.00,0
0x9108,1612774412.838,0,-45,0,927.250,30.00,0
0x9108,1612774412.924,0,-45,0,927.250,30.00,0
0x9108,1612774412.978,0,-45,0,927.250,30.00,0
0x9108,1612774413.071,0,-46,0,924.250,30.00,0
0x9108,1612774413.125,0,-47,0,924.250,30.00,0
0x9108,1612774413.226,0,-49,0,915.250,30.00,0
0x9108,1612774413.278,0,-49,0,915.250,30.00,0
0x9108,1612774413.362,0,-48,0,915.250,30.00,0
0x9108,1612774413.430,0,-49,0,912.250,30.00,0
0x9108,1612774413.517,0,-49,0,912.250,30.00,0
0x9108,1612774413.570,0,-49,0,912.250,30.00,0
0x9108,1612774413.655,0,-49,0,906.750,30.00,0
0x9108,1612774413.711,0,-49,0,906.750,30.00,0
0x9108,1612774413.795,0,-49,0,906.750,30.00,0
0x9108,1612774413.859,0,-48,0,913.750,30.00,0
0x9108,1612774413.947,0,-48,0,913.750,30.00,0
0x9108,1612774413.994,0,-48,0,913.750,30.00,0
0x9108,1612774414.092,0,-48,0,905.750,30.00,0
0x9108,1612774414.144,0,-48,0,905.750,30.00,0
0x9108,1612774414.197,0,-48,0,905.750,30.00,0
0x9108,1612774414.301,0,-45,0,925.250,30.00,0
0x9108,1612774414.387,0,-45,0,925.250,30.00,0
0x9108,1612774414.457,0,-48,0,911.250,30.00,0
0x9108,1612774414.541,0,-48,0,911.250,30.00,0
0x9108,1612774414.595,0,-48,0,911.250,30.00,0
0x9108,1612774414.682,0,-48,0,908.250,30.00,0
0x9108,1612774414.734,0,-48,0,908.250,30.00,0
0x9108,1612774414.819,0,-49,0,908.250,30.00,0
0x9108,1612774414.883,0,-47,0,915.750,30.00,0
0x9108,1612774414.967,0,-47,0,915.750,30.00,0
0x9108,1612774415.019,0,-47,0,915.750,30.00,0
0x9108,1612774415.104,0,-47,0,917.250,30.00,0
0x9108,1612774415.159,0,-47,0,917.250,30.00,0
0x9108,1612774415.244,0,-47,0,917.250,30.00,0
0x9108,1612774415.307,0,-48,0,905.250,30.00,0
0x9108,1612774415.392,0,-48,0,905.250,30.00,0
0x9108,1612774415.444,0,-48,0,905.250,30.00,0
0x9108,1612774415.534,0,-48,0,906.250,30.00,0
0x9108,1612774415.588,0,-48,0,906.250,30.00,0
