MultiReader - Tags Read History Results,,,,,,,
Test Description: ,,,,,,,
Test Date: 01/26/21  Time: 11:26:52 PM,,,,,,,
,,,,,,,
EPCValue,TimeStamp,RunNum,RSSI,Reader,Frequency,Power,Antenna
0x7002,1,0,-31,0,903.25,30,0
0x7002,3,0,-48,0,903.25,30,0
0x7002,5.2,0,-51,0,903.25,30,0
0x7002,5.1,0,-40,0,903.25,30,0
0x5004,5.9,0,-48,0,903.25,30,0
0x5004,6,0,-52,0,908.75,30,0
0x7002,7.9,0,-31,0,908.75,30,0
0x7002,8,0,-39,0,908.75,30,0
0x5004,8.1,0,-40,0,908.75,30,0
0x5004,8.1,0,-48,0,908.75,30,0
0x7002,8.8,0,-52,0,903.25,30,0
0x5004,8.9,0,-31,0,903.25,30,0
0x5004,9,0,-39,0,903.25,30,0
0x7002,11,0,-39,0,903.25,30,0
0x7002,11.1,0,-39,0,903.25,30,0
0x5004,11.2,0,-39,0,908.75,30,0
0x5004,11.3,0,-39,0,908.75,30,0
0x7002,11.4,0,-39,0,908.75,30,0
0x5004,11.5,0,-31,0,908.75,30,0
0x5004,13,0,-39,0,908.75,30,0
0x5004,15,0,-51,0,908.75,30,0
0x7002,15.6,0,-40,0,903.25,30,0
0x7002,15.8,0,-31,0,903.25,30,0
0x7002,15.9,0,-39,0,903.25,30,0
0x7002,16,0,-40,0,903.25,30,0
0x7002,16.1,0,-48,0,903.25,30,0
0x7002,16.4,0,-51,0,908.75,30,0
0x7002,16.8,0,-40,0,908.75,30,0
0x7002,17.2,0,-48,0,908.75,30,0
0x7002,17.3,0,-52,0,908.75,30,0
0x7002,19,0,-31,0,908.75,30,0
0x7002,8.9,0,-39,0,903.25,30,0
0x5004,9,0,-40,0,903.25,30,0
0x5004,11,0,-39,0,903.25,30,0
0x5004,11.1,0,-40,0,903.25,30,0
0x5004,11.2,0,-48,0,908.75,30,0
0x7002,11.3,0,-51,0,908.75,30,0
0x7002,11.4,0,-40,0,908.75,30,0
0x5004,11.5,0,-48,0,908.75,30,0
0x7002,13,0,-39,0,908.75,30,0
0x7002,15,0,-51,0,908.75,30,0
0x5004,15.6,0,-40,0,903.25,30,0
0x5004,15.8,0,-31,0,903.25,30,0
0x5004,15.9,0,-39,0,903.25,30,0
0x5004,16,0,-40,0,903.25,30,0
0x7002,16.1,0,-48,0,903.25,30,0
0x7002,16.4,0,-48,0,908.75,30,0
0x5004,16.8,0,-51,0,908.75,30,0
0x7002,17.2,0,-40,0,908.75,30,0
0x5004,17.3,0,-48,0,908.75,30,0
0x5004,19,0,-39,0,908.75,30,0
