MultiReader - Tags Read History Results,,,,,,,
Test Description: ,,,,,,,
Test Date: 01/26/21  Time: 11:26:52 PM,,,,,,,
,,,,,,,
EPCValue,TimeStamp,RunNum,RSSI,Reader,Frequency,Power,Antenna
0x7002,1,0,-31,0,903.25,30,0
0x7002,2.345,0,-48,0,903.25,30,0
0x7002,2.94,0,-51,0,903.25,30,0
0x7002,4.3,0,-40,0,903.25,30,0
0x5004,5.8,0,-48,0,903.25,30,0
0x5004,6,0,-52,0,908.75,30,0
0x7002,7.9,0,-31,0,908.75,30,0
0x7002,8,0,-39,0,908.75,30,0
0x5004,8.1,0,-39,0,908.75,30,0
0x5004,8.1,0,-39,0,908.75,30,0
0x7002,8.4,0,-31,0,903.25,30,0
0x5004,8.6,0,-48,0,903.25,30,0
0x5004,9,0,-51,0,903.25,30,0
0x5004,9.3,0,-40,0,903.25,30,0
0x5004,9.5,0,-48,0,903.25,30,0
0x5004,9.7,0,-52,0,908.75,30,0
0x7002,9.9,0,-31,0,908.75,30,0
0x7002,10,0,-39,0,908.75,30,0
0x5004,12,0,-39,0,908.75,30,0
0x5004,13,0,-39,0,908.75,30,0
